id,symbol,price_start,price_end,price_max,price_min,volume,time_epoch,date_time
215,ltc,0.00,92200.00,0.00,0.00,0.00,1530000000000,"2018-06-26 08:00:00"
216,dash,0.00,267400.00,0.00,0.00,0.00,1530000000000,"2018-06-26 08:00:00"
217,etc,0.00,17640.00,0.00,0.00,0.00,1530000000000,"2018-06-26 08:00:00"
218,btc,0.00,6999000.00,0.00,0.00,0.00,1530001800000,"2018-06-26 08:30:00"
219,eth,0.00,507500.00,0.00,0.00,0.00,1530001800000,"2018-06-26 08:30:00"
220,xrp,0.00,539.00,0.00,0.00,0.00,1530001800000,"2018-06-26 08:30:00"
221,bch,0.00,837000.00,0.00,0.00,0.00,1530001800000,"2018-06-26 08:30:00"
222,ltc,0.00,91400.00,0.00,0.00,0.00,1530001800000,"2018-06-26 08:30:00"
223,dash,0.00,267400.00,0.00,0.00,0.00,1530001800000,"2018-06-26 08:30:00"
224,etc,0.00,17570.00,0.00,0.00,0.00,1530001800000,"2018-06-26 08:30:00"
225,btc,0.00,6988000.00,0.00,0.00,0.00,1530003600000,"2018-06-26 09:00:00"
226,eth,0.00,509000.00,0.00,0.00,0.00,1530003600000,"2018-06-26 09:00:00"
227,xrp,0.00,538.00,0.00,0.00,0.00,1530003600000,"2018-06-26 09:00:00"
228,bch,0.00,840000.00,0.00,0.00,0.00,1530003600000,"2018-06-26 09:00:00"
229,ltc,0.00,91700.00,0.00,0.00,0.00,1530003600000,"2018-06-26 09:00:00"
230,dash,0.00,267400.00,0.00,0.00,0.00,1530003600000,"2018-06-26 09:00:00"
231,etc,0.00,17680.00,0.00,0.00,0.00,1530003600000,"2018-06-26 09:00:00"
232,btc,0.00,6987000.00,0.00,0.00,0.00,1530005400000,"2018-06-26 09:30:00"
233,eth,0.00,507500.00,0.00,0.00,0.00,1530005400000,"2018-06-26 09:30:00"
234,xrp,0.00,538.00,0.00,0.00,0.00,1530005400000,"2018-06-26 09:30:00"
235,bch,0.00,836000.00,0.00,0.00,0.00,1530005400000,"2018-06-26 09:30:00"
236,ltc,0.00,90900.00,0.00,0.00,0.00,1530005400000,"2018-06-26 09:30:00"
237,dash,0.00,266200.00,0.00,0.00,0.00,1530005400000,"2018-06-26 09:30:00"
238,etc,0.00,17580.00,0.00,0.00,0.00,1530005400000,"2018-06-26 09:30:00"
239,btc,0.00,6960000.00,0.00,0.00,0.00,1530007200000,"2018-06-26 10:00:00"
240,eth,0.00,502000.00,0.00,0.00,0.00,1530007200000,"2018-06-26 10:00:00"
241,xrp,0.00,535.00,0.00,0.00,0.00,1530007200000,"2018-06-26 10:00:00"
242,bch,0.00,832000.00,0.00,0.00,0.00,1530007200000,"2018-06-26 10:00:00"
243,ltc,0.00,90500.00,0.00,0.00,0.00,1530007200000,"2018-06-26 10:00:00"
244,dash,0.00,266200.00,0.00,0.00,0.00,1530007200000,"2018-06-26 10:00:00"
245,etc,0.00,17440.00,0.00,0.00,0.00,1530007200000,"2018-06-26 10:00:00"
246,btc,0.00,6964000.00,0.00,0.00,0.00,1530009000000,"2018-06-26 10:30:00"
247,eth,0.00,504000.00,0.00,0.00,0.00,1530009000000,"2018-06-26 10:30:00"
248,xrp,0.00,535.00,0.00,0.00,0.00,1530009000000,"2018-06-26 10:30:00"
